Time (min),Inter-event Time (log10[min]),Magnitude (M),Instantaneous Injection Rate (log10[m3/min]),Sequential Volume Change (log10[m3]),Sign of Sequential Volume Change (-),Time Since Injection Sign Change (log10[min]),Cumulative Volume (log10[m3]),Cumulative Moment (M),Pressure (log10[MPa]),Instantaneous Pressure Rate (log10[MPa/min]),Sequential Pressure Change (log10[MPa]),Sign of Pressure Change (-),Cumulative Hydraulic Moment (M),Sequential Hydraulic Moment Change (M),Smoothed Causal Seismicity Rate log10[1/min]
2.60924111975231,0.41651421407121,-0.687826038719936,-0.856438054275192,-0.454917868956723,1,-Inf,-0.454917868956723,-0.687826038719937,-10,-Inf,-Inf,0,-Inf,-1,-1.04165142140712
4.00835429446887,0.145852846133652,-0.957147977338247,-0.859418921451964,-0.713607213745638,1,-Inf,-0.264249558956366,-0.59155266817948,-10,-Inf,-Inf,0,-Inf,-1,-0.0562367060204863
4.49071713429345,-0.316626156673766,-0.432865961989367,-0.858493936296108,-1.17555187241285,1,-Inf,-0.214001886006465,-0.300784348091669,-10,-Inf,-Inf,0,-Inf,-1,-0.0245740903531096
5.80631234388342,0.119122283439052,-0.608840813376966,-0.856031490983405,-0.740544431114652,1,-Inf,-0.100901286756826,-0.214953038756742,-10,-Inf,-Inf,0,-Inf,-1,-0.0364863186970148
7.26933450489186,0.165250904615254,-0.640047414560631,-0.860984079387132,-0.693935176567467,1,-Inf,-0.00217098362169989,-0.154937639966237,-10,-Inf,-Inf,0,-Inf,-1,-0.0530114091585403
7.4458923816924,-0.753112902429982,-0.950341936979401,-0.861431245520935,-1.61405118302934,1,-Inf,0.00831598757255538,-0.136947917798684,-10,-Inf,-Inf,0,-Inf,-1,0.022299881084458
8.83979837716099,0.144233486082027,-0.792604928758885,-0.857358672380668,-0.714352966742338,1,-Inf,0.0836361306560045,-0.108334436387388,-10,-Inf,-Inf,0,-Inf,-1,0.00787653247625522
9.01383252867353,-0.759365519774318,-0.734438466395064,-0.859135797322689,-1.61846985256324,1,-Inf,0.0921750297848708,-0.0768078098691802,-10,-Inf,-Inf,0,-Inf,-1,0.083813084453687
9.2851422352532,-0.566534668315157,-0.601959620867938,-0.860627591420865,-1.42411660559257,1,-Inf,0.105205531418535,-0.0330800872671553,-10,-Inf,-Inf,0,-Inf,-1,0.140466551285203
9.29697559327815,-1.92689199545981,-0.554391144534155,-0.853640444548133,-2.777788728913,1,-Inf,0.105773737551413,0.0111891057645863,-10,-Inf,-Inf,0,-Inf,-1,0.333155750831184
9.7841008615016,-0.312359342065702,-0.938642666885625,-0.858227020450206,-1.16992957553497,1,-Inf,0.128203156545724,0.0218773060437449,-10,-Inf,-Inf,0,-Inf,-1,0.406043106444875
10.019609707769,-0.627992775104339,-0.889173216978084,-0.854286718809246,-1.48630988552944,1,-Inf,0.138627499054758,0.0340656291226426,-10,-Inf,-Inf,0,-Inf,-1,0.483427668568674
10.3584440966528,-0.470012518811871,-0.675303315928302,-0.867799417679352,-1.33031917029681,1,-Inf,0.153134050305223,0.0580287481387162,-10,-Inf,-Inf,0,-Inf,-1,0.498766304782485
10.8304265545198,-0.326074142453022,-0.437407177211507,-0.860012728090582,-1.18717381932536,1,-Inf,0.172531368270032,0.106110360060987,-10,-Inf,-Inf,0,-Inf,-1,0.543285947371692
