Time (min),Injection Rate (log10[m3/min]),Sequential Volume Change (log10[m3]),Sign of Injection Rate (-),Time Since Injection Sign Change (log10[min])
0.0137958986341953,-Inf,-Inf,0,-Inf
0.0305308152501782,-1.72507912299053,-3.50145557022316,1,-Inf
0.0472657318666577,-1.45001518329152,-3.22639163052415,1,-Inf
0.0640006484831373,-1.20702090071562,-2.98339734794825,1,-Inf
0.0807355650996169,-1.09962830788385,-2.87600475511648,1,-Inf
0.0974704817160964,-1.03144361152437,-2.807820058757,1,-Inf
0.114205398332079,-0.99358675388503,-2.76996320111766,1,-Inf
0.130940314948559,-0.968072249396609,-2.74444869662924,1,-Inf
0.147675231565038,-0.956566892291178,-2.73294333952381,1,-Inf
0.164410148181518,-0.938975302114286,-2.71535174934692,1,-Inf
0.181145064797501,-0.91629109396579,-2.69266754119842,1,-Inf
0.19787998141398,-0.903587895728483,-2.67996434296111,1,-Inf
0.21461489803046,-0.886600236479588,-2.66297668371222,1,-Inf
0.231349814646939,-0.8712010704057,-2.64757751763833,1,-Inf
0.248084731262922,-0.850917025275201,-2.62729347250783,1,-Inf
0.264819647879402,-0.832047566663488,-2.60842401389612,1,-Inf
0.281554564495881,-0.822619843839011,-2.59899629107164,1,-Inf
0.298289481112361,-0.847024070489161,-2.62340051772179,1,-Inf
0.31502439772884,-0.846945817128773,-2.6233222643614,1,-Inf
0.331759314344823,-0.857238738217043,-2.63361518544967,1,-Inf
0.348494230961303,-0.865201474015982,-2.64157792124861,1,-Inf
0.365229147577782,-0.862201499033347,-2.63857794626598,1,-Inf
0.381964064194262,-0.861855255820513,-2.63823170305314,1,-Inf
0.398698980810245,-0.858171403805492,-2.63454785103812,1,-Inf
0.415433897426724,-0.854683496420919,-2.63105994365355,1,-Inf
0.432168814043204,-0.845367577734241,-2.62174402496687,1,-Inf
0.448903730659684,-0.855147481002616,-2.63152392823525,1,-Inf
0.465638647275666,-0.861485120402688,-2.63786156763532,1,-Inf
0.482373563892146,-0.859983343612151,-2.63635979084478,1,-Inf
0.499108480508625,-0.859869221628866,-2.63624566886149,1,-Inf
0.515843397125105,-0.861756939808001,-2.63813338704063,1,-Inf
0.532578313741585,-0.861855255820513,-2.63823170305314,1,-Inf
0.549313230357568,-0.865719809631221,-2.64209625686385,1,-Inf
0.566048146974047,-0.863925811451963,-2.64030225868459,1,-Inf
0.582783063590527,-0.850937936626185,-2.62731438385882,1,-Inf
0.599517980207006,-0.86152275646125,-2.63789920369388,1,-Inf
0.616252896822989,-0.854613497428956,-2.63098994466159,1,-Inf
0.632987813439469,-0.869124591863645,-2.64550103909628,1,-Inf
0.649722730055948,-0.869441100135986,-2.64581754736862,1,-Inf
0.666457646672428,-0.861949575597457,-2.63832602283009,1,-Inf
0.68319256328841,-0.867341121159679,-2.64371756839231,1,-Inf
0.69992747990489,-0.846700302580674,-2.6230767498133,1,-Inf
0.71666239652137,-0.846612020668192,-2.62298846790082,1,-Inf
0.733397313137849,-0.850518773519708,-2.62689522075234,1,-Inf
0.750132229754329,-0.854399406589304,-2.63077585382193,1,-Inf
0.766867146370312,-0.850550792418835,-2.62692723965147,1,-Inf
0.783602062986791,-0.854580974268601,-2.63095742150123,1,-Inf
0.800336979603271,-0.863881220686061,-2.64025766791869,1,-Inf
0.81707189621975,-0.865008985371294,-2.64138543260392,1,-Inf
0.833806812835733,-0.850933339331257,-2.62730978656389,1,-Inf
0.850541729452213,-0.86550951723903,-2.64188596447166,1,-Inf
0.867276646068692,-0.854430702207011,-2.63080714943964,1,-Inf
0.884011562685172,-0.854430702207011,-2.63080714943964,1,-Inf
0.900746479301651,-0.854430702207011,-2.63080714943964,1,-Inf
0.917481395917634,-0.855152530742555,-2.63152897797519,1,-Inf
0.934216312534114,-0.868416837348584,-2.64479328458121,1,-Inf
0.950951229150593,-0.850726938573211,-2.62710338580584,1,-Inf
0.967686145767073,-0.855122839096829,-2.63149928632946,1,-Inf
0.984421062383056,-0.864996769143617,-2.64137321637625,1,-Inf
1.00115597899954,-0.853093320706017,-2.62946976793865,1,-Inf
