Time (min),Injection Rate (log10[m3/min]),Sequential Volume Change (log10[m3]),Sign of Injection Rate (-),Time Since Injection Sign Change (log10[min])
0.0117859725235651,-Inf,-3.08463695887533,0,-Inf
5.58994938539416,-Inf,-2.54136198638215,0,-Inf
11.1681127982646,-Inf,-1.39362360718599,0,-Inf
16.7462762111352,-Inf,-1.12355701851835,0,-Inf
22.3244396240058,-Inf,-1.07091059608322,0,-Inf
27.9026030368764,-Inf,-1.09655779724721,0,-Inf
33.480766449747,-Inf,-1.12320640515805,0,-Inf
39.0589298626176,-Inf,-1.11081201214709,0,-Inf
44.637093275488,-Inf,-1.1251235953102,0,-Inf
50.2152566883586,-Inf,-1.24928929249304,0,-Inf
55.7934201012292,-Inf,-1.24560447610542,0,-Inf
61.3715835140998,-Inf,-1.27519089569357,0,-Inf
66.9497469269704,-Inf,-1.2925089394729,0,-Inf
72.527910339841,-Inf,-1.29062243647624,0,-Inf
78.1060737527116,-Inf,-1.64230296876855,0,-Inf
83.6842371655821,-Inf,-2.53981145514133,0,-Inf
89.2624005784526,-Inf,-1.620199665076,0,-Inf
94.8405639913232,-Inf,-1.29694528209733,0,-Inf
100.418727404194,-Inf,-1.27821594736938,0,-Inf
105.996890817064,-Inf,-1.27942853982597,0,-Inf
111.575054229935,-Inf,-1.28024127021451,0,-Inf
117.153217642805,-Inf,-1.27987988900242,0,-Inf
122.731381055676,-Inf,-1.28115159185868,0,-Inf
128.309544468547,-Inf,-1.28115159185868,0,-Inf
133.887707881417,-Inf,-1.40527689512471,0,-Inf
139.465871294288,-Inf,-1.44269016498812,0,-Inf
145.044034707158,-Inf,-1.33057810556194,0,-Inf
150.622198120029,-Inf,-1.3010844709588,0,-Inf
156.200361532899,-Inf,-1.30031971886217,0,-Inf
161.77852494577,-Inf,-1.29977435461418,0,-Inf
167.356688358641,-Inf,-1.29862607015699,0,-Inf
172.934851771511,-Inf,-1.29782101686861,0,-Inf
178.513015184382,-Inf,-1.29836609204884,0,-Inf
184.091178597252,-Inf,-1.2994621721912,0,-Inf
189.669342010123,-Inf,-1.29983659127339,0,-Inf
195.247505422993,-Inf,-1.30003365957105,0,-Inf
200.825668835864,-Inf,-1.29936520847818,0,-Inf
206.403832248735,-Inf,-1.29958605040682,0,-Inf
211.981995661605,-Inf,-1.29928688092242,0,-Inf
217.560159074476,-Inf,-1.29954477660598,0,-Inf
223.138322487346,-Inf,-1.29952399048829,0,-Inf
228.716485900217,-Inf,-1.29979931443475,0,-Inf
234.294649313088,-Inf,-1.29938305350551,0,-Inf
239.872812725958,-Inf,-1.29882363621775,0,-Inf
245.450976138829,-Inf,-1.29882972276564,0,-Inf
251.029139551699,-Inf,-1.29898929008573,0,-Inf
256.60730296457,-Inf,-1.29873472696645,0,-Inf
262.18546637744,-Inf,-1.29823666001781,0,-Inf
267.763629790311,-Inf,-1.29803190029947,0,-Inf
273.341793203182,-Inf,-1.29834528488172,0,-Inf
278.919956616052,-Inf,-1.29779992357127,0,-Inf
284.498120028923,-Inf,-1.29836477611286,0,-Inf
290.076283441793,-Inf,-1.29761946992591,0,-Inf
295.654446854664,-Inf,-1.29828711942012,0,-Inf
301.232610267534,-Inf,-1.29825232240866,0,-Inf
306.810773680405,-Inf,-1.29792496830733,0,-Inf
312.388937093276,-Inf,-1.29696217662542,0,-Inf
317.967100506146,-Inf,-1.29702023001359,0,-Inf
323.545263919017,-Inf,-1.2974251525193,0,-Inf
329.123427331887,-Inf,-1.29764775500367,0,-Inf
334.701590744758,-Inf,-1.29750916695233,0,-Inf
