Time (min),Inter-event Time (log10[min]),Magnitude (M),Instantaneous Injection Rate (log10[m3/min]),Sequential Volume Change (log10[m3]),Sign of Sequential Volume Change (-),Time Since Injection Sign Change (log10[min]),Cumulative Volume (log10[m3]),Cumulative Moment (M),Pressure (log10[MPa]),Instantaneous Pressure Rate (log10[MPa/min]),Sequential Pressure Change (log10[MPa]),Sign of Pressure Change (-),Cumulative Hydraulic Moment (M),Sequential Hydraulic Moment Change (M),Smoothed Causal Seismicity Rate log10[1/min]
362.23655,2.55899226890036,0.96,-0.927444989928284,1.33119692448436,1,-Inf,1.33119692448436,0.96,1.03227865541181,-2.42467290828298,1.03227865541181,1,2.47747919332119,2.47747919332119,-1.25589922689004
400.788283333333,1.58604390923986,1.39,-0.927444989928284,0.658598919311586,1,-Inf,1.41488621874244,1.44910330503835,1.03808589576338,-2.42467290833584,-0.838628999099848,1,2.55961379493766,2.15473875317214,-0.414503617814022
433.5388,1.51521815573887,1.11,-0.927444989928284,0.58777316581059,1,-Inf,1.47516744368266,1.52728154191017,1.04295899030786,-2.42467290826756,-0.909454752600097,1,2.61538291135987,2.11107961549221,-0.566025433387909
488.954166666667,1.7436302111752,0.93,-0.927444989928284,0.816185221246925,1,-Inf,1.56127426679344,1.56191807360377,1.05108195955031,-2.42467290832635,-0.681042697162492,1,2.69155233446117,2.26769382799188,-0.740388454505429
489.337633333333,-0.416272381680859,0.93,-0.927444989928284,-1.34371737160916,1,-Inf,1.56181442697279,1.59285023711436,1.05113764339576,-2.42467290841309,-2.84094529008118,1,2.69201978282395,0.9,-0.698761216337343
548.621816666667,1.7729388416393,0.9,-0.865297083179439,0.904394287054365,1,-Inf,1.64820260565289,1.61816050365889,1.05210212180161,-2.29974005278534,-1.601871830986,1,2.76518473199797,2.33111223762103,-0.876055100501273
553.8868,0.721397000734647,0.93,-0.865297083179439,-0.143900082444808,1,-Inf,1.65515605443445,1.64386625774106,1.05108388648603,-2.29974005278578,-1.57834305203453,-1,2.77088040832709,1.63060540489585,-0.948194800574738
589.5595,1.55233598152014,1.55,-0.865297083179439,0.687038898340692,1,-Inf,1.69954585792387,1.80140720935835,1.04412126132625,-2.29974005278549,-0.747404071253343,-1,2.80646635772367,2.18191260698123,-1.10342839872675
678.8175,1.95064715139657,1.3,-0.865297083179439,1.08535006821712,1,-Inf,1.79405568924915,1.84858308914309,1.02619446372268,-2.29974005278558,-0.349092901377408,-1,2.87822524378859,2.43920822849033,-1.29849311386641
743.170916666667,1.80857160951685,1.35,-0.865297083179439,0.9432745263374,1,-Inf,1.85134129961394,1.89618536041432,1.0127944831846,-2.29974005277607,-0.491168443256702,-1,2.9193565002479,2.33402024723604,-1.47935027481809
783.280716666667,1.60325049645901,0.94,-0.865297083179439,0.737953413279564,1,-Inf,1.88356568269553,1.9066457083628,1.00422851979785,-2.29974005278503,-0.696489556315749,-1,2.94176623491831,2.18979607735674,-1.38377609757396
843.914383333333,1.78271383188251,1.29,-0.865297083179439,0.917416748703111,1,-Inf,1.92814711279222,1.93916256984944,0.990949930175753,-2.29974005278575,-0.51702622089168,-1,2.97193013994152,2.30217545674573,-1.40344308983822
1090.40275,2.39179642701408,1.36,-0.865297083179439,1.36588789675593,1,-Inf,2.03331443766514,1.97589968600859,1.0183456137902,-1.16941216524226,-0.195382393683804,1,3.03962593181217,2.58568298915163,-1.49110091696574
1156.07385,1.81737429084111,1.31,-0.450323735208621,1.32946488857384,1,-Inf,2.11168622400796,2.00356461898014,1.09231989956234,-2.42467290829372,0.287154107309383,1,3.1029402079056,2.63173213373338,-1.49847532493234
1157.60541666667,0.185135905703715,1.49,-0.450323735208621,-0.265187829504905,1,-Inf,2.11350592524149,2.04894482962135,1.09252212058142,-2.42467290839437,-2.2395370026387,1,3.10442516640699,1.5770305143591,-1.55861615367079
1193.05741666667,1.54964074063228,0.96,-0.450323735208621,1.09931700542365,1,-Inf,2.15362769451563,2.0556017528636,1.09717691544925,-2.42467290827128,-0.875032167708153,1,3.13699980561357,2.48832288347139,-1.53628634357009
1217.86871666667,1.39464951993667,1.02,-0.450323735208621,0.944325784728042,1,-Inf,2.17965351955535,2.06358698841807,1.10040517820861,-2.42467290830307,-1.0300233884004,1,3.15797928418396,2.38762064160221,-1.60361159549029
1237.14405,1.28500189715493,1.35,-0.450323735208621,0.834678161946323,1,-Inf,2.19884800023869,2.08721729247386,1.10289668327031,-2.42467290832373,-1.13967101118485,1,3.17338771007561,2.31642781153471,-1.57687818705377
