Time (min),Injection Rate (log10[m3/min]),Sequential Volume Change (log10[m3]),Sign of Injection Rate (-),Time Since Injection Sign Change (log10[min])
0.0606842337019086,-Inf,-Inf,0,-Inf
0.214027025614862,-Inf,-Inf,0,-Inf
0.367369817527318,-0.378661798161706,-1.19299843196778,1,-Inf
0.520712609440271,-0.184088744704689,-0.998425378510759,1,-Inf
0.674055401353224,-0.198657043442765,-1.01299367724884,1,-Inf
0.827398193265681,0.0178681908285557,-0.796468442977515,1,-Inf
0.980740985178634,0.0152889202594836,-0.799047713546587,1,-Inf
1.13408377709159,0.0125139621267694,-0.801822671679302,1,-Inf
1.28742656900404,0.00807776269422446,-0.806258871111846,1,-Inf
1.440769360917,0.00474789049746297,-0.809588743308608,1,-Inf
1.59411215282995,-0.0176193389940795,-0.83195597280015,1,-Inf
1.74745494474241,-0.181137240138047,-0.995473873944118,1,-Inf
1.90079773665536,0.0165374598730166,-0.797799173933053,1,-Inf
2.05414052856831,0.00112245412486658,-0.813214179681204,1,-Inf
2.20748332048077,0.00719333306598339,-0.807143300740087,1,-Inf
2.36082611239372,-0.00517960266904592,-0.819516236475117,1,-Inf
2.51416890430667,-0.00241286629094723,-0.816749500097017,1,-Inf
2.66751169621913,0.00140667393971986,-0.81292995986635,1,-Inf
2.82085448813208,-0.195113429086719,-1.00945006289279,1,-Inf
2.97419728004504,-0.0922665117831253,-0.906603145589195,1,-Inf
3.12754007195799,0.00526629207005049,-0.80907034173602,1,-Inf
3.28088286387045,0.00967040450859019,-0.80466622929748,1,-Inf
3.4342256557834,0.00609294305815079,-0.80824369074792,1,-Inf
3.58756844769635,-0.0032727202698424,-0.817609354075913,1,-Inf
3.74091123960881,0.00809158669379506,-0.806245047112275,1,-Inf
3.89425403152176,-0.322740459449983,-1.13707709325605,1,-Inf
4.04759682343471,-0.0715342434735087,-0.885870877279578,1,-Inf
4.20093961534717,-0.0159862622456444,-0.830322896051715,1,-Inf
4.35428240726012,-0.00256892486639212,-0.816905558672461,1,-Inf
4.50762519917308,0.012585090204099,-0.801751543601972,1,-Inf
4.66096799108553,0.00659833410002849,-0.807738299706041,1,-Inf
4.81431078299849,0.00967618910738164,-0.804660444698687,1,-Inf
4.96765357491144,-0.0939874509149195,-0.908324084720989,1,-Inf
5.1209963668239,-0.193437058828594,-1.00777369263467,1,-Inf
5.27433915873685,-0.168414157810518,-0.982750791616587,1,-Inf
5.4276819506498,0.0414560159661184,-0.772880617839952,1,-Inf
5.58102474256275,-0.00585488637886317,-0.820191520184934,1,-Inf
5.73436753447521,0.000666843507809943,-0.813669790298261,1,-Inf
5.88771032638816,-0.00169623023529776,-0.816032864041366,1,-Inf
6.04105311830112,-0.161113432773472,-0.975450066579542,1,-Inf
6.19439591021357,-0.207518623124823,-1.02185525693089,1,-Inf
6.34773870212653,-0.196031844293016,-1.01036847809908,1,-Inf
6.50108149403948,-0.207782972615434,-1.02211960642151,1,-Inf
6.65442428595194,-0.201341019715531,-1.0156776535216,1,-Inf
6.80776707786489,-0.196062423309623,-1.0103990571157,1,-Inf
6.96110986977784,-0.179544249223398,-0.993880883029466,1,-Inf
7.1144526616903,-0.188308740714769,-1.00264537452084,1,-Inf
7.26779545360325,-0.197762731148484,-1.01209936495456,1,-Inf
7.4211382455162,-0.185608473080413,-0.999945106886483,1,-Inf
7.57448103742866,-0.19496993478321,-1.00930656858928,1,-Inf
7.72782382934161,-0.189013716603448,-1.00335035040952,1,-Inf
7.88116662125457,-0.1906219219462,-1.00495855575227,1,-Inf
8.03450941316702,-0.225293839693779,-1.03963047349984,1,-Inf
8.18785220507998,-0.186984534469091,-1.00132116827516,1,-Inf
8.34119499699293,-0.190212544447134,-1.0045491782532,1,-Inf
8.49453778890588,-0.187477969772775,-1.00181460357884,1,-Inf
8.64788058081834,-0.180434618810793,-0.994771252616868,1,-Inf
8.80122337273129,-0.18458923620528,-0.998925870011347,1,-Inf
