Time (min),Injection Rate (log10[m3/min]),Sequential Volume Change (log10[m3]),Sign of Injection Rate (-),Time Since Injection Sign Change (log10[min])
0.0643170087687016,-Inf,-Inf,0,-Inf
0.217659800681655,-Inf,-Inf,0,-Inf
0.371002592594608,0.282347846845864,-0.531988786960207,1,-Inf
0.524345384507561,-Inf,-Inf,0,-0.814336633806071
0.677688176420514,-Inf,-Inf,0,-0.513306638142089
0.831030968333467,-Inf,-Inf,0,-0.337215379086408
0.98437376024642,-Inf,-Inf,0,-0.212276642478108
1.13771655215937,-Inf,-Inf,0,-0.115366629470052
1.29105934407233,-Inf,-Inf,0,-0.0361853834224267
1.44440213598429,-Inf,-Inf,0,0.0307614062077845
1.59774492789724,-Inf,-Inf,0,0.0887533531855215
1.75108771981019,-Inf,-Inf,0,0.139905875632942
1.90443051172315,-Inf,-Inf,0,0.185663366193648
2.0577733036351,-Inf,-Inf,0,0.227056051351643
2.21111609554806,-Inf,-Inf,0,0.264844612241085
2.36445888746101,-Inf,-Inf,0,0.299606718500334
2.51780167937396,-Inf,-Inf,0,0.331791401871766
2.67114447128692,-Inf,-Inf,0,0.361754625249236
2.82448726319987,-Inf,-Inf,0,0.389783348849503
2.97783005511282,-Inf,-Inf,0,0.416112287571872
3.13117284702578,-Inf,-Inf,0,0.440935871296923
3.28451563893873,-Inf,-Inf,0,0.464416967146462
3.43785843085069,-Inf,-Inf,0,0.486693361857489
3.59120122276364,-Inf,-Inf,0,0.507882660927447
3.74454401467659,0.575689223160525,-0.238647410645546,1,-Inf
3.89788680658855,-0.725842595552214,-1.54017922935828,1,-Inf
4.05122959850151,-0.184373292491436,-0.998709926297507,1,-Inf
4.20457239041446,-Inf,-Inf,0,-0.81433663380607
4.35791518232741,-Inf,-Inf,0,-0.513306638142089
4.51125797424037,-Inf,-Inf,0,-0.337215379086408
4.66460076615332,-Inf,-Inf,0,-0.212276642478108
4.81794355806627,-Inf,-Inf,0,-0.115366629470052
4.97128634997923,-1.25076364279204,-2.06510027659811,1,-Inf
5.12462914189218,-0.779876646202388,-1.59421328000846,1,-Inf
5.27797193380513,-1.21092661483123,-2.02526324863729,1,-Inf
5.43131472571709,-0.901978367473122,-1.71631500127919,1,-Inf
5.58465751763004,-0.67414339807678,-1.48848003188285,1,-Inf
5.738000309543,-0.695441124314436,-1.5097777581205,1,-Inf
5.89134310145496,-0.593514573309898,-1.40785120711597,1,-Inf
6.04468589336791,-0.5557070515806,-1.37004368538667,1,-Inf
6.19802868528086,-0.474833193226707,-1.28916982703278,1,-Inf
6.35137147719382,-0.397431576774071,-1.21176821058014,1,-Inf
6.50471426910677,-0.406089393927302,-1.22042602773337,1,-Inf
6.65805706101972,-0.284191705665473,-1.09852833947154,1,-Inf
6.81139985293268,-0.272100950135211,-1.08643758394128,1,-Inf
6.96474264484563,-0.272616368722432,-1.0869530025285,1,-Inf
7.11808543675858,-0.14272282188594,-0.95705945569201,1,-Inf
7.27142822867054,-0.117475173607772,-0.931811807413844,1,-Inf
7.42477102058349,-0.111444305503936,-0.925780939310007,1,-Inf
7.57811381249645,-0.0975606768834303,-0.9118973106895,1,-Inf
7.7314566044094,-0.109695981060555,-0.924032614866626,1,-Inf
7.88479939632136,-0.0791478364656816,-0.893484470271751,1,-Inf
8.03814218823431,-0.116027594887077,-0.930364228693149,1,-Inf
8.19148498014727,-0.100981630202164,-0.915318264008236,1,-Inf
8.34482777206022,-0.0913507273298858,-0.905687361135955,1,-Inf
8.49817056397317,-0.112109925561963,-0.926446559368034,1,-Inf
8.65151335588613,-0.123042523463395,-0.937379157269465,1,-Inf
8.80485614779908,-0.110331796821047,-0.924668430627117,1,-Inf
8.95819893971203,-0.132775645620668,-0.947112279426739,1,-Inf
9.11154173162498,-0.120503839164103,-0.934840472970174,1,-Inf
9.26488452353694,-0.0899409681605097,-0.90427760196658,1,-Inf
9.4182273154499,-0.10834767171542,-0.92268430552149,1,-Inf
9.57157010736285,-0.112873044884655,-0.927209678690725,1,-Inf
9.72491289927481,-0.129013401636184,-0.943350035442255,1,-Inf
9.87825569118776,-0.130879929552648,-0.945216563358718,1,-Inf
10.0315984831007,-0.10937019646593,-0.923706830272,1,-Inf
10.1849412750137,-0.148884959633661,-0.963221593439731,1,-Inf
10.3382840669266,-0.115781511590632,-0.930118145396702,1,-Inf
10.4916268588396,-0.107270488767459,-0.921607122573532,1,-Inf
10.6449696507525,-0.105318771349651,-0.91965540515572,1,-Inf
10.7983124426655,-0.124872962885518,-0.939209596691587,1,-Inf
10.9516552345784,-0.121323346362871,-0.935659980168944,1,-Inf
11.1049980264914,-0.121338590977025,-0.935675224783094,1,-Inf
11.2583408184033,-0.117748606028704,-0.932085239834774,1,-Inf
11.4116836103163,-0.123806803256773,-0.938143437062846,1,-Inf
11.5650264022293,-0.118558919668604,-0.932895553474674,1,-Inf
11.7183691941412,-0.105008957256899,-0.919345591062967,1,-Inf
11.8717119860542,-0.116985778100237,-0.931322411906308,1,-Inf
12.0250547779671,-0.108577833213838,-0.922914467019906,1,-Inf
12.1783975698801,-0.110993099656245,-0.92532973346232,1,-Inf
12.331740361793,-0.0995131811928097,-0.913849814998879,1,-Inf
12.485083153706,-0.101833581492378,-0.916170215298449,1,-Inf
12.6384259456189,-0.111621425919187,-0.925958059725253,1,-Inf
12.7917687375319,-0.108529791142278,-0.92286642494835,1,-Inf
12.9451115294448,-0.116714978314948,-0.931051612121019,1,-Inf
13.0984543213578,-0.112878908281168,-0.927215542087237,1,-Inf
13.2517971132698,-0.107019637987472,-0.921356271793544,1,-Inf
13.4051399051827,-0.103816746615456,-0.918153380421528,1,-Inf
