Time (min),Inter-event Time (log10[min]),Magnitude (M),Instantaneous Injection Rate (log10[m3/min]),Sequential Volume Change (log10[m3]),Sign of Sequential Volume Change (-),Time Since Injection Sign Change (log10[min]),Cumulative Volume (log10[m3]),Cumulative Moment (M),Pressure (log10[MPa]),Instantaneous Pressure Rate (log10[MPa/min]),Sequential Pressure Change (log10[MPa]),Sign of Pressure Change (-),Cumulative Hydraulic Moment (M),Sequential Hydraulic Moment Change (M),Smoothed Causal Seismicity Rate log10[1/min]
33.0550472665592,1.51923778251018,0.476287585832003,-Inf,0.7099069853271,1,0.377022548425075,0.7099069853271,0.476287585832002,1.81132541471958,0.0951692538916025,1.81132541471958,1,2.6701495146134,2.6701495146134,-1.15192377825102
47.3439231543289,1.15499806399451,0.316276553461136,-Inf,-Inf,0,1.22196996295268,0.7099069853271,0.607884789980393,1.75148148674716,-0.458059689363817,0.920982769891173,-1,2.6701495146134,0,-0.267423584650469
79.7059606919079,1.51003585729963,0.385984891397057,-Inf,0.264117300024962,1,1.12246996589986,0.842893059865182,0.718379147804238,1.76738466185229,-0.394843575322232,0.323156868131614,1,2.76441041051764,2.39364984673215,-0.418427170380432
79.9585466987646,-0.597590712819735,0.0178000982316575,-Inf,-Inf,0,1.13066628817263,0.842893059865182,0.74305031623703,1.76664334657676,-0.399851633723226,-1.0007673050773,-1,2.76441041051764,0,-0.358668099098458
93.4786706933406,1.13098067458736,1.29820562968528,-Inf,-Inf,0,1.43185350549208,0.842893059865182,1.33791027710336,1.73356550441768,-0.588988598889946,0.631962252907995,-1,2.76441041051764,0,-0.471766166557194
182.692223565413,1.95043083521078,0.493809008325107,-Inf,0.78309769967109,1,1.41985552543612,1.11505367093452,1.35318710376093,-0.260576308707695,-0.217938328260083,1.72914112042785,-1,2.89623636912634,2.60502524797513,-0.666809250078272
198.788556300907,1.2067269409911,0.304690167513553,-Inf,-Inf,0,1.62726612261991,1.11505367093452,1.3608290431169,0.987072767675726,-0.517372504752769,0.961796552206443,1,2.89623636912634,0,-0.787481944177382
250.242316201683,1.71141711562901,0.297061500097415,-Inf,-Inf,0,1.97240662204629,1.11505367093452,1.36808324646699,-0.77121829181725,-2.62600920435125,0.979428963574171,-1,2.89623636912634,0,-0.958623655740283
335.271322584367,1.92956710410256,0.103128859536776,-Inf,-Inf,0,2.25254486473799,1.11505367093452,1.37172680655432,0.681830547701326,-1.19105416291827,0.666252931525096,1,2.89623636912634,0,-1.15158036615054
371.867882411525,1.56344026248998,0.288368534860676,-Inf,-Inf,0,2.33338598575931,1.11505367093452,1.37851191626692,0.855135064524164,-1.19105416291758,0.372386099572185,1,2.89623636912634,0,-1.30792439239954
559.397221930593,2.27306922403398,0.178312587672462,-Inf,1.70656636319164,1,1.41198761563864,1.80560642776794,1.38306155967138,1.73031777268965,-0.752027459184861,1.66818854673828,1,3.42695267155507,3.3764968793416,-1.38330753655192
